[segmentationTreeThrust.exe] starting...

MapSMtoCores undefined SM 3.5 is undefined (please update to the latest SDK)!
GPU Device 0: "GeForce GTX 780" with compute capability 3.5

* Building segmentation tree... done in 70636.1 (ms)
* Dumping levels for each tree...

[segmentationTreeThrust.exe] test results...
PASSED

> exiting in 3 seconds: 3...2...1...done!

======== Warning: Metric "branch_efficiency" cannot be found on device 0.
==6568== NVPROF is profiling process 6568, command: segmentationTreeThrust.exe
==6568== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==6568== Profiling application: segmentationTreeThrust.exe
==6568== Profiling result:
==6568== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::RakingReduction<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"inst_issued","Instructions Issued",909,850992,152473
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::b40c_thrust::RakingReduction<unsigned int, unsigned int, int=2, int=4, int=8, thrust::detail::backend::cuda::detail::b40c_thrust::NopFunctor<unsigned int>>(bool*, int*, unsigned int*, unsigned int, thrust::detail::backend::cuda::detail::b40c_thrust::CtaDecomposition)",9,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","removeCycles(unsigned int*, unsigned int)",10,"inst_replay_overhead","Instruction Replay Overhead",0.500000,1.476037,0.877071
"GeForce GTX 780 (0)","removeCycles(unsigned int*, unsigned int)",10,"global_cache_replay_overhead","Global Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","removeCycles(unsigned int*, unsigned int)",10,"local_replay_overhead","Local Memory Cache Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","removeCycles(unsigned int*, unsigned int)",10,"cf_executed","Executed Control-Flow Instructions",3,115197,15637
"GeForce GTX 780 (0)","removeCycles(unsigned int*, unsigned int)",10,"inst_executed","Instructions Executed",16,614388,83402
"GeForce GTX 780 (0)","removeCycles(unsigned int*, unsigned int)",10,"inst_issued","Instructions Issued",24,941588,140962
"GeForce GTX 780 (0)","removeCycles(unsigned int*, unsigned int)",10,"atomic_replay_overhead","Atomic Replay Overhead",0.000000,0.000000,0.000000
"GeForce GTX 780 (0)","void thrust::detail::backend::cuda::detail::launch_closure_by_value<thrust::detail::backend::cuda::for_each_n_closure<thrust::zip_iterator<thrust::tuple<thrust::permutation_iterator<thrust::device_ptr<unsigned int>, thrust::transform_iterator<thrust::detail::backend::cuda::detail::last_index_in_each_interval<thrust::detail::backend::uniform_decomposition<int>>, thrust::counting_iterator<int, thrust::use_default, thrust::use_default, thrust::use_default>, thrust::use_default, thrust::use_default>>, thrust::detail::normal_iterator<thrust::device_ptr<unsigned int>>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>, unsigned int, thrust::detail::device_unary_transform_functor<thrust::identity<unsigned int>>>>(unsigned int)",14,"inst_replay_overhead","Instruction Replay Overhead",0.701183,0.885204,0.822359
